Date,Image,Size,Species,Confidence,Morph,Price
202410,ac111e5fe892274c5db3ed6d177ad375.jpg,baby,crestedgeko,,lily,100000.0
202410,6aaa3944206e05cd6e2c80a608e4a059.jpg,baby,crestedgeko,,lily,80000.0
202410,865bff3d245c6f248e0187c6422f5f91.jpg,baby,crestedgeko,,undefined,25000.0
202410,2473a545369119c90d4231c59fb6ef34.jpg,baby,crestedgeko,,undefined,18000.0
202410,981331cd3cf1811b5505bd16c7ac839a.jpg,baby,crestedgeko,,lily,70000.0
202410,03ae91406bd27c1f701aa72ea1eb0f69.jpg,baby,crestedgeko,,lily,65000.0
202410,a315062b94b02bd1aa9313830d8e29df.jpg,baby,crestedgeko,,lily,60000.0
202410,f2aaf0966a19bd21676d3df7d4b8c12a.jpg,baby,crestedgeko,,lily,70000.0
202410,2e42e885235bf381b702f621fc3e278f.jpg,baby,crestedgeko,,lily,70000.0
202410,31ed433936af388cd2eda86775412bff.jpg,baby,crestedgeko,,lily,90000.0
202410,524f27eea0cfc9370e4b7cd2884da3a4.jpg,baby,crestedgeko,,lily,100000.0
202410,c647cc113520d75a0dfb88b715777d59.jpg,baby,crestedgeko,,lily,80000.0
202410,05925a93e14defebe1f16cce9fedd74a.jpg,baby,crestedgeko,,lily,60000.0
202410,2bd0b894aad539bc76ec7aa72feaaca7.jpg,baby,crestedgeko,,lily,60000.0
202410,149b3052351b66ba81df309bcc49efcf.jpg,baby,crestedgeko,,lily,70000.0
202410,68b806ec69d5443acb4f689c42155b76.jpg,baby,crestedgeko,,lily,60000.0
202410,f2b73cd9ddb899d987ceb2559401d655.jpg,baby,crestedgeko,,lily,70000.0
202410,0607c49cac884b60fc3d761da96ad7a9.jpg,baby,crestedgeko,,undefined,20000.0
202410,677fd971570bd8c791f74ba995bc53ff.jpg,baby,crestedgeko,,undefined,30000.0
202410,9e19e3619f1803a5d8cb6ea87444d3ab.jpg,baby,crestedgeko,,undefined,25000.0
202410,18bbdc0c06f0af1cb98bce87c9720455.jpg,baby,crestedgeko,,undefined,42000.0
202410,310c16d8d3d6fa0edec1e940d43c448a.jpg,baby,crestedgeko,,undefined,30000.0
202410,d0191e57226dbcac7bd92b98bd4b3698.jpg,baby,crestedgeko,,undefined,30000.0
202410,47312742c2fcbba8def424fad1675737.jpg,baby,crestedgeko,,undefined,30000.0
202410,d9b8dcf63faed6a9812944b85df3502e.jpg,baby,crestedgeko,,undefined,20000.0
202410,c50ee3feca9d4fec2b370f37d8deda6b.jpg,baby,crestedgeko,,undefined,18000.0
202410,d10e44a4251a4b6f6b5772305a754424.jpg,baby,crestedgeko,,undefined,35000.0
202410,6f1cba51a13541b9d870fd62693b67c1.jpg,baby,crestedgeko,,undefined,25000.0
202410,aa2706c380f2150df33149e9009adf67.jpg,baby,crestedgeko,,undefined,22000.0
202410,16210c61d4fbf85547d2b1d8cb503a1f.jpg,baby,crestedgeko,,undefined,25000.0
202410,41301983698a898f8903c94f8ce0ceff.jpg,baby,crestedgeko,,undefined,25000.0
202410,9ec856f0f86e2f6a928976d27a07f1e6.jpg,baby,crestedgeko,,undefined,30000.0
202410,c97ab533f5667de57fabadaae7430edd.jpg,baby,crestedgeko,,undefined,30000.0
202410,51809f0ddba7347e545c4aa52f200709.jpg,baby,crestedgeko,,undefined,30000.0
202410,8b4e470a61057daf08c5ed46fef5c446.jpg,baby,crestedgeko,,undefined,30000.0
202410,e685b8c00559ffb055411e6b27ded080.jpg,baby,crestedgeko,,undefined,22000.0
202409,29a2224408e5cbddb64af4f3e05e2a11.jpg,baby,crestedgeko,,lily,68000.0
202409,90170d14d2a05a2da5a9afcd67dcbc73.jpg,baby,crestedgeko,,undefined,80000.0
202409,3b01928443aa3b58586996ea50d1010e.jpg,baby,crestedgeko,,undefined,60000.0
202409,740ea5addd0bb5b1c0ca21680b29716d.jpg,baby,crestedgeko,,undefined,120000.0
202409,6498b6a6dad22e5ab5e9839a8ebfb819.jpg,baby,crestedgeko,,undefined,45000.0
202409,afc85514879f73980d33b363639abcbc.jpg,baby,crestedgeko,,undefined,80000.0
